788.393663, 2.866727, 609.201379, 176.325557: ns per cell total, react, vel_step, dens_step
865.750620, 4.616236, 600.833618, 260.300765: ns per cell total, react, vel_step, dens_step
969.235626, 4.964744, 599.901088, 364.369794: ns per cell total, react, vel_step, dens_step
1004.925685, 5.284015, 600.078760, 399.562910: ns per cell total, react, vel_step, dens_step
1044.211153, 5.228824, 600.315092, 438.667238: ns per cell total, react, vel_step, dens_step
981.876159, 4.015174, 599.953291, 377.907695: ns per cell total, react, vel_step, dens_step
963.893626, 3.927880, 600.044359, 359.921387: ns per cell total, react, vel_step, dens_step
912.801896, 3.608223, 602.624782, 306.568890: ns per cell total, react, vel_step, dens_step
783.983127, 2.925122, 604.442343, 176.615662: ns per cell total, react, vel_step, dens_step
780.626440, 2.899147, 604.422272, 173.305021: ns per cell total, react, vel_step, dens_step
780.412767, 2.904673, 604.143391, 173.364703: ns per cell total, react, vel_step, dens_step
780.249380, 2.896015, 604.032686, 173.320678: ns per cell total, react, vel_step, dens_step
780.541523, 2.878148, 604.209335, 173.454040: ns per cell total, react, vel_step, dens_step
780.436160, 2.898410, 604.313409, 173.224341: ns per cell total, react, vel_step, dens_step
780.617599, 2.849781, 604.345644, 173.422173: ns per cell total, react, vel_step, dens_step
780.911400, 2.856044, 604.751072, 173.304284: ns per cell total, react, vel_step, dens_step
780.073836, 2.846465, 603.975952, 173.251419: ns per cell total, react, vel_step, dens_step
780.516472, 2.898778, 604.436087, 173.181606: ns per cell total, react, vel_step, dens_step
780.505788, 2.891226, 604.339382, 173.275181: ns per cell total, react, vel_step, dens_step
780.739172, 2.855859, 604.548634, 173.334678: ns per cell total, react, vel_step, dens_step
780.590521, 2.853281, 604.207309, 173.529931: ns per cell total, react, vel_step, dens_step
780.481474, 2.942434, 604.460034, 173.079006: ns per cell total, react, vel_step, dens_step
780.707857, 2.940960, 604.694706, 173.072191: ns per cell total, react, vel_step, dens_step
780.240354, 2.861754, 604.422272, 172.956328: ns per cell total, react, vel_step, dens_step
780.662912, 2.858991, 604.420983, 173.382939: ns per cell total, react, vel_step, dens_step
780.415530, 2.860096, 604.231440, 173.323994: ns per cell total, react, vel_step, dens_step
780.525498, 2.861754, 604.493374, 173.170370: ns per cell total, react, vel_step, dens_step
780.449975, 2.850518, 604.181705, 173.417753: ns per cell total, react, vel_step, dens_step
