787.840690, 3.783498, 607.848051, 176.209142: ns per cell total, react, vel_step, dens_step
864.198074, 5.216349, 598.853738, 260.127987: ns per cell total, react, vel_step, dens_step
971.906480, 5.881284, 600.753415, 365.271782: ns per cell total, react, vel_step, dens_step
1009.598758, 5.987278, 602.401102, 401.210378: ns per cell total, react, vel_step, dens_step
1050.650746, 6.000322, 602.872776, 441.777648: ns per cell total, react, vel_step, dens_step
989.119731, 4.742516, 604.489375, 379.887839: ns per cell total, react, vel_step, dens_step
969.085026, 4.697035, 602.655096, 361.732895: ns per cell total, react, vel_step, dens_step
918.472582, 4.306933, 602.916472, 311.249177: ns per cell total, react, vel_step, dens_step
784.329948, 3.629770, 602.739583, 177.960595: ns per cell total, react, vel_step, dens_step
780.768091, 3.509406, 603.137651, 174.121034: ns per cell total, react, vel_step, dens_step
779.950237, 3.562456, 602.832798, 173.554983: ns per cell total, react, vel_step, dens_step
779.790718, 3.597454, 602.846060, 173.347203: ns per cell total, react, vel_step, dens_step
776.259761, 3.499828, 599.813736, 172.946197: ns per cell total, react, vel_step, dens_step
774.135918, 3.523590, 598.243234, 172.369094: ns per cell total, react, vel_step, dens_step
774.139049, 3.516222, 598.321152, 172.301676: ns per cell total, react, vel_step, dens_step
774.308883, 3.535747, 598.392622, 172.380514: ns per cell total, react, vel_step, dens_step
774.412773, 3.514932, 598.508669, 172.389172: ns per cell total, react, vel_step, dens_step
774.129286, 3.513090, 598.283206, 172.332990: ns per cell total, react, vel_step, dens_step
774.216598, 3.533905, 598.401095, 172.281598: ns per cell total, react, vel_step, dens_step
774.246439, 3.519721, 598.334230, 172.392487: ns per cell total, react, vel_step, dens_step
774.137207, 3.517695, 598.294811, 172.324701: ns per cell total, react, vel_step, dens_step
774.030370, 3.514748, 598.161633, 172.353989: ns per cell total, react, vel_step, dens_step
773.906587, 3.502591, 598.146713, 172.257283: ns per cell total, react, vel_step, dens_step
773.974557, 3.524327, 598.112083, 172.338148: ns per cell total, react, vel_step, dens_step
773.733438, 3.523590, 597.997325, 172.212522: ns per cell total, react, vel_step, dens_step
773.717596, 3.516774, 598.004509, 172.196313: ns per cell total, react, vel_step, dens_step
773.981557, 3.510511, 598.219104, 172.251942: ns per cell total, react, vel_step, dens_step
773.749831, 3.509590, 598.018877, 172.221364: ns per cell total, react, vel_step, dens_step
