1013.235305, 5.617039, 842.526788, 165.091478: ns per cell total, react, vel_step, dens_step
834.159830, 4.395662, 575.733744, 254.030424: ns per cell total, react, vel_step, dens_step
930.942240, 4.781186, 575.268959, 350.892096: ns per cell total, react, vel_step, dens_step
968.515678, 5.107495, 575.397507, 388.010676: ns per cell total, react, vel_step, dens_step
994.961855, 4.807530, 575.631988, 414.522337: ns per cell total, react, vel_step, dens_step
934.734558, 3.831784, 575.518326, 355.384448: ns per cell total, react, vel_step, dens_step
921.937892, 3.753960, 575.084305, 343.099627: ns per cell total, react, vel_step, dens_step
819.438719, 3.188422, 575.355759, 240.894539: ns per cell total, react, vel_step, dens_step
743.581303, 2.742072, 575.376767, 165.462464: ns per cell total, react, vel_step, dens_step
743.484700, 2.744526, 575.448825, 165.291348: ns per cell total, react, vel_step, dens_step
743.240473, 2.740669, 575.312248, 165.187556: ns per cell total, react, vel_step, dens_step
743.161928, 2.748734, 575.165326, 165.247868: ns per cell total, react, vel_step, dens_step
743.492940, 2.741020, 575.621344, 165.130576: ns per cell total, react, vel_step, dens_step
743.371440, 2.737689, 575.356955, 165.276796: ns per cell total, react, vel_step, dens_step
743.308148, 2.746630, 575.450579, 165.110939: ns per cell total, react, vel_step, dens_step
743.260285, 2.747507, 575.380274, 165.132504: ns per cell total, react, vel_step, dens_step
743.469446, 2.741896, 575.364845, 165.362705: ns per cell total, react, vel_step, dens_step
743.315512, 2.748734, 575.352923, 165.213855: ns per cell total, react, vel_step, dens_step
743.410011, 2.742247, 575.219151, 165.448614: ns per cell total, react, vel_step, dens_step
743.361973, 2.745403, 575.309443, 165.307127: ns per cell total, react, vel_step, dens_step
743.474005, 2.740318, 575.434273, 165.299413: ns per cell total, react, vel_step, dens_step
743.322700, 2.741020, 575.368352, 165.213329: ns per cell total, react, vel_step, dens_step
743.268875, 2.745578, 575.416040, 165.107257: ns per cell total, react, vel_step, dens_step
743.333570, 2.742072, 575.391494, 165.200004: ns per cell total, react, vel_step, dens_step
743.602342, 2.742422, 575.567695, 165.292225: ns per cell total, react, vel_step, dens_step
743.288336, 2.742773, 575.352748, 165.192816: ns per cell total, react, vel_step, dens_step
